"Actual_Category","Business_Impact","Category","Confidence","Correct","Customer_Satisfaction_Score","Entity_Extraction","Escalation_Required","Expected_Automation_Rate","Expected_Resolution_Path","Expected_Response_Time_ms","Platform","Predicted_Category","Query_ID","Query_Text","Sarcasm_Detected","Sentiment","Sentiment_Intensity","source_file","Sub_Category"
,"","Delivery Delays","0.87",,"3.8","","","70%","Path A - API Resolution","340","WhatsApp",,"DD-018","Expected 5 days ago still not here!","","Negative","","BEASTLIFE_ALL_QUERIES_COMBINED.csv",""
,"","Delivery Delays","0.77",,"2.8","","","30%","Path C - Escalation","600","Email",,"DD-019","This is beyond unacceptable! 2 week delay!","","Critical","","BEASTLIFE_ALL_QUERIES_COMBINED.csv",""
,"","Delivery Delays","0.85",,"3.7","","","65%","Path B - RAG Response","420","Chat",,"DD-020","My delivery keeps getting delayed!","","Negative","","BEASTLIFE_ALL_QUERIES_COMBINED.csv",""
,"","Delivery Delays","0.84",,"3.7","","","65%","Path B - RAG Response","420","Instagram",,"DD-021","How much longer do I have to wait??","","Negative","","BEASTLIFE_ALL_QUERIES_COMBINED.csv",""
,"","Delivery Delays","0.82",,"3.5","","","60%","Path C - Escalation","600","WhatsApp",,"DD-022","Fed up with these delays! Where's my order?!","","Negative","","BEASTLIFE_ALL_QUERIES_COMBINED.csv",""
,"","Refund Requests","0.94",,"4.1","","","85%","Path A - API Resolution","290","Email",,"RF-001","I want a refund for my last purchase","","Neutral","","BEASTLIFE_ALL_QUERIES_COMBINED.csv",""
,"","Refund Requests","0.92",,"4.1","","","85%","Path A - API Resolution","290","WhatsApp",,"RF-002","Can I get my money back? I changed my mind","","Neutral","","BEASTLIFE_ALL_QUERIES_COMBINED.csv",""
,"","Refund Requests","0.96",,"4.1","","","85%","Path A - API Resolution","290","Chat",,"RF-003","Please process a refund for order #ORD-12345","","Neutral","","BEASTLIFE_ALL_QUERIES_COMBINED.csv",""
,"","Refund Requests","0.95",,"4.1","","","85%","Path A - API Resolution","290","Email",,"RF-004","I'd like to return this item","","Neutral","","BEASTLIFE_ALL_QUERIES_COMBINED.csv",""
,"","Refund Requests","0.93",,"4.0","","","85%","Path B - RAG Response","420","Instagram",,"RF-005","How do I get a refund?","","Neutral","","BEASTLIFE_ALL_QUERIES_COMBINED.csv",""
,"","Refund Requests","0.92",,"4.3","","","95%","Path A - API Resolution","290","WhatsApp",,"RF-006","The product arrived damaged - I need a refund!","","Negative","","BEASTLIFE_ALL_QUERIES_COMBINED.csv",""
,"","Refund Requests","0.90",,"4.3","","","95%","Path A - API Resolution","290","Email",,"RF-007","Defective item - pushing for full refund","","Negative","","BEASTLIFE_ALL_QUERIES_COMBINED.csv",""
,"","Refund Requests","0.88",,"4.2","","","90%","Path A - API Resolution","290","Chat",,"RF-008","Product doesn't match description - want refund","","Negative","","BEASTLIFE_ALL_QUERIES_COMBINED.csv",""
,"","Refund Requests","0.91",,"4.3","","","95%","Path A - API Resolution","290","WhatsApp",,"RF-009","Got the wrong item - need refund ASAP!","","Negative","","BEASTLIFE_ALL_QUERIES_COMBINED.csv",""
,"","Refund Requests","0.89",,"4.2","","","90%","Path A - API Resolution","290","Email",,"RF-010","Item is broken - requesting full refund","","Negative","","BEASTLIFE_ALL_QUERIES_COMBINED.csv",""
,"","Refund Requests","0.72",,"3.8","","","40%","Path B - RAG Response","420","Chat",,"RF-011","I want a refund but still want to keep the product","","Neutral","","BEASTLIFE_ALL_QUERIES_COMBINED.csv",""
,"","Refund Requests","0.75",,"3.9","","","70%","Path C - Escalation","450","WhatsApp",,"RF-012","Refund request for ORD-12345 - delivery took too long","","Negative","","BEASTLIFE_ALL_QUERIES_COMBINED.csv",""
,"","Refund Requests","0.81",,"3.9","","","75%","Path B - RAG Response","420","Email",,"RF-013","Can I get partial refund?","","Neutral","","BEASTLIFE_ALL_QUERIES_COMBINED.csv",""
,"","Refund Requests","0.78",,"3.9","","","70%","Path C - Escalation","450","Chat",,"RF-014","Refund all charges - very unhappy!","","Negative","","BEASTLIFE_ALL_QUERIES_COMBINED.csv",""
,"","Refund Requests","0.76",,"3.8","","","65%","Path C - Escalation","450","Instagram",,"RF-015","I need a refund AND apology for late delivery!","","Negative","","BEASTLIFE_ALL_QUERIES_COMBINED.csv",""
,"","Refund Requests","0.79",,"3.9","","","70%","Path C - Escalation","450","WhatsApp",,"RF-016","Still waiting 2 weeks for refund on returned item","","Negative","","BEASTLIFE_ALL_QUERIES_COMBINED.csv",""
,"","Refund Requests","0.74",,"3.7","","","60%","Path C - Escalation","450","Email",,"RF-017","Demand refund - service was poor!","","Negative","","BEASTLIFE_ALL_QUERIES_COMBINED.csv",""
,"","Refund Requests","0.85",,"4.0","","","80%","Path B - RAG Response","420","Chat",,"RF-018","Can I get store credit instead of refund?","","Neutral","","BEASTLIFE_ALL_QUERIES_COMBINED.csv",""
,"","Product Complaints","0.89",,"3.6","","","60%","Path B - RAG Response","420","Email",,"PC-001","This product quality is terrible!","","Negative","","BEASTLIFE_ALL_QUERIES_COMBINED.csv",""
,"","Product Complaints","0.87",,"3.6","","","60%","Path B - RAG Response","420","WhatsApp",,"PC-002","The product doesn't work as advertised","","Negative","","BEASTLIFE_ALL_QUERIES_COMBINED.csv",""
,"","Product Complaints","0.85",,"3.5","","","55%","Path B - RAG Response","420","Chat",,"PC-003","Product performance is below expectations","","Negative","","BEASTLIFE_ALL_QUERIES_COMBINED.csv",""
,"","Product Complaints","0.88",,"3.6","","","60%","Path B - RAG Response","420","Instagram",,"PC-004","This item is not what was described","","Negative","","BEASTLIFE_ALL_QUERIES_COMBINED.csv",""
,"","Product Complaints","0.86",,"3.6","","","60%","Path B - RAG Response","420","Email",,"PC-005","Terrible product - completely disappointed","","Negative","","BEASTLIFE_ALL_QUERIES_COMBINED.csv",""
,"","Product Complaints","0.92",,"4.2","","","90%","Path A - API Resolution","290","WhatsApp",,"PC-006","The fitness tracker arrived BROKEN!","","Negative","","BEASTLIFE_ALL_QUERIES_COMBINED.csv",""
,"","Product Complaints","0.90",,"4.1","","","85%","Path A - API Resolution","290","Email",,"PC-007","Product came with missing parts","","Negative","","BEASTLIFE_ALL_QUERIES_COMBINED.csv",""
,"","Product Complaints","0.91",,"3.9","","","80%","Path B - RAG Response","420","Chat",,"PC-008","This app keeps crashing - completely unusable!","","Negative","","BEASTLIFE_ALL_QUERIES_COMBINED.csv",""
,"","Product Complaints","0.89",,"4.1","","","85%","Path A - API Resolution","290","Instagram",,"PC-009","Equipment arrived damaged in shipping","","Negative","","BEASTLIFE_ALL_QUERIES_COMBINED.csv",""
,"","Product Complaints","0.88",,"4.1","","","85%","Path A - API Resolution","290","WhatsApp",,"PC-010","Product stopped working after 2 days","","Negative","","BEASTLIFE_ALL_QUERIES_COMBINED.csv",""
,"","Product Complaints","0.84",,"3.4","","","50%","Path C - Escalation","450","Email",,"PC-011","I'm very frustrated with this product quality!","","Negative","","BEASTLIFE_ALL_QUERIES_COMBINED.csv",""
,"","Product Complaints","0.82",,"3.3","","","45%","Path B - RAG Response","420","Chat",,"PC-012","This supplement tastes awful!","","Negative","","BEASTLIFE_ALL_QUERIES_COMBINED.csv",""
,"","Product Complaints","0.83",,"3.4","","","50%","Path C - Escalation","450","WhatsApp",,"PC-013","Software has SO many bugs!","","Negative","","BEASTLIFE_ALL_QUERIES_COMBINED.csv",""
,"","Product Complaints","0.81",,"3.2","","","40%","Path C - Escalation","450","Instagram",,"PC-014","Worst purchase I've ever made","","Negative","","BEASTLIFE_ALL_QUERIES_COMBINED.csv",""
,"","Product Complaints","0.79",,"3.2","","","40%","Path C - Escalation","450","Email",,"PC-015","Can't believe I paid for this defective item!","","Negative","","BEASTLIFE_ALL_QUERIES_COMBINED.csv",""
,"","Payment Issues","0.94",,"4.2","","","80%","Path A - API Resolution","180","Email",,"PI-001","My card was declined. Can you help?","","Neutral","","BEASTLIFE_ALL_QUERIES_COMBINED.csv",""
,"","Payment Issues","0.96",,"4.4","","","95%","Path A - API Resolution","180","WhatsApp",,"PI-002","I've been charged twice for the same order!","","Negative","","BEASTLIFE_ALL_QUERIES_COMBINED.csv",""
,"","Payment Issues","0.95",,"4.4","","","95%","Path A - API Resolution","180","Chat",,"PI-003","Why was I charged 3 times?!","","Negative","","BEASTLIFE_ALL_QUERIES_COMBINED.csv",""
,"","Payment Issues","0.92",,"4.2","","","80%","Path A - API Resolution","180","WhatsApp",,"PI-004","My payment keeps failing","","Neutral","","BEASTLIFE_ALL_QUERIES_COMBINED.csv",""
,"","Payment Issues","0.97",,"4.5","","","98%","Path A - API Resolution","180","Email",,"PI-005","I see duplicate charges on my credit card","","Negative","","BEASTLIFE_ALL_QUERIES_COMBINED.csv",""
,"","Subscription Issues","0.96",,"4.4","","","90%","Path B - RAG Response","150","Email",,"SI-001","How do I cancel my subscription?","","Neutral","","BEASTLIFE_ALL_QUERIES_COMBINED.csv",""
,"","Subscription Issues","0.94",,"4.4","","","90%","Path B - RAG Response","150","Chat",,"SI-002","I want to upgrade to Premium plan","","Positive","","BEASTLIFE_ALL_QUERIES_COMBINED.csv",""
,"","Subscription Issues","0.93",,"4.4","","","90%","Path A - API Resolution","150","WhatsApp",,"SI-003","Can I pause my membership temporarily?","","Neutral","","BEASTLIFE_ALL_QUERIES_COMBINED.csv",""
,"","General Questions","0.95",,"4.6","","","98%","Path B - RAG Response","120","Email",,"GQ-001","What's your return policy?","","Neutral","","BEASTLIFE_ALL_QUERIES_COMBINED.csv",""
,"","General Questions","0.98",,"4.6","","","98%","Path B - RAG Response","120","Chat",,"GQ-002","How can I contact customer support?","","Neutral","","BEASTLIFE_ALL_QUERIES_COMBINED.csv",""
,"High","Delivery Delays","0.88",,"3.5","Order: ORD-12345, Issue: Delay + Refund","TRUE","60%","Path C - Escalation","600","WhatsApp",,"COMPLEX-001","My order ORD-12345 is 5 days late AND I want a refund!","FALSE","Negative","High","BEASTLIFE_ALL_QUERIES_COMBINED.csv","Multiple Intent"
,"Critical","Payment Issues","0.92",,"2.8","Charge ID: DUP-001, Subscription: SUB-456","TRUE","50%","Path C - Escalation","600","Email",,"COMPLEX-002","I was charged twice for my subscription AND the service is terrible!","FALSE","Critical","Very High","BEASTLIFE_ALL_QUERIES_COMBINED.csv","Multiple Intent"
,"Medium","General Questions","0.85",,"3.9","App Issue: Crash, Feature: Order Tracking","FALSE","65%","Path B - RAG Response","420","Chat",,"COMPLEX-003","How do I use the app? It keeps crashing when I try to track orders","FALSE","Neutral","Medium","BEASTLIFE_ALL_QUERIES_COMBINED.csv","Technical Support"
,"High","Delivery Delays","0.92",,"3.7","Order: Previous + Current, Pattern: Recurring","TRUE","65%","Path B - RAG Response","420","Instagram",,"COMPLEX-004","Oh great my package is late. AGAIN.","TRUE","Negative","High","BEASTLIFE_ALL_QUERIES_COMBINED.csv","Sarcasm"
,"Medium","Product Complaints","0.72",,"3.2","Service Quality: Negative Implication","TRUE","40%","Path C - Escalation","600","Email",,"COMPLEX-005","Your customer service is...interesting.","TRUE","Negative","Medium","BEASTLIFE_ALL_QUERIES_COMBINED.csv","Implied Negativity"
,"Low","Order Tracking","0.90",,"4.4","Language: Spanish, Order: ORD-98765","FALSE","90%","Path A - API Resolution","210","WhatsApp",,"COMPLEX-006","Dónde está mi pedido #ORD-98765?","FALSE","Neutral","Low","BEASTLIFE_ALL_QUERIES_COMBINED.csv","Multilingual"
,"Low","Order Tracking","0.88",,"4.3","Language: German, Category: Package Tracking","FALSE","90%","Path A - API Resolution","210","Chat",,"COMPLEX-007","Wo ist mein Paket?","FALSE","Neutral","Low","BEASTLIFE_ALL_QUERIES_COMBINED.csv","Multilingual"
,"Critical","Delivery Delays","0.78",,"2.8","Order: ORD-77889, Delay: 14 days","TRUE","30%","Path C - Escalation Priority","600","Email",,"COMPLEX-008","My order is 2 weeks late! This is ridiculous!","FALSE","Critical","Very High","BEASTLIFE_ALL_QUERIES_COMBINED.csv","Angry Customer"
,"Critical","Product Complaints","0.92",,"2.5","Escalation Tier: Management, Urgency: Immediate","TRUE","10%","Path C - Escalation Priority","600","WhatsApp",,"COMPLEX-009","I want to speak to management NOW! This is unacceptable!","FALSE","Critical","Very High","BEASTLIFE_ALL_QUERIES_COMBINED.csv","Angry Escalation"
,"Very High","Product Complaints","0.85",,"3.3","Customer LTV: High, History: 5 years","TRUE","45%","Path C - Escalation","600","Email",,"COMPLEX-010","I've been a loyal customer for 5 years and this service is shocking!","FALSE","Negative","High","BEASTLIFE_ALL_QUERIES_COMBINED.csv","VIP Customer"
,"Low","Order Tracking","0.85",,"4.3","Orders: 3x, Status: Batch Query","FALSE","85%","Path A - API Resolution","290","Chat",,"COMPLEX-011","I placed 3 orders last week. Status on ORD-11223 ORD-33445 ORD-55667?","FALSE","Neutral","Low","BEASTLIFE_ALL_QUERIES_COMBINED.csv","Batch Query"
,"High","Refund Requests","0.88",,"3.4","Issues: Damage + Refund Delay, Compounds: 2","TRUE","70%","Path C - Escalation","600","Instagram",,"COMPLEX-012","First the product arrived damaged then the refund took forever!","FALSE","Negative","High","BEASTLIFE_ALL_QUERIES_COMBINED.csv","Compound Issue"
,"Critical","Payment Issues","0.97",,"2.4","Charges: 3x, Suspected: Fraud, Urgency: Critical","TRUE","5%","Path C - Escalation Priority","600","Email",,"COMPLEX-013","I notice you charged me 3 times. This looks like fraud!","FALSE","Critical","Very High","BEASTLIFE_ALL_QUERIES_COMBINED.csv","Fraud"
,"Low","Order Tracking","0.79",,"4.0","Requests: 2x, Features: Expedite + Discount","FALSE","75%","Path B - RAG Response","420","WhatsApp",,"COMPLEX-014","Can you expedite my order and apply my discount code simultaneously?","FALSE","Neutral","Low","BEASTLIFE_ALL_QUERIES_COMBINED.csv","Multiple Requests"
,"High","Subscription Issues","0.81",,"3.5","Issue: Auto-renewal, Concern: Legal/Compliance","TRUE","50%","Path C - Escalation","600","Chat",,"COMPLEX-015","My subscription renewed without explicit consent. Is this legal?","FALSE","Negative","High","BEASTLIFE_ALL_QUERIES_COMBINED.csv","Compliance"
,"High","General Questions","0.94",,"4.5","Need: Accessibility, Requirement: Special Accommodation","FALSE","85%","Path B - RAG Response","420","Email",,"COMPLEX-016","I'm physically disabled and need accessible order tracking options","FALSE","Positive","Low","BEASTLIFE_ALL_QUERIES_COMBINED.csv","Accessibility"
,"Low","Product Complaints","0.75",,"3.8","Request: Price Match, Category: Negotiation","FALSE","60%","Path B - RAG Response","420","Chat",,"COMPLEX-017","Will you match a competitor's pricing on this item?","FALSE","Neutral","Low","BEASTLIFE_ALL_QUERIES_COMBINED.csv","Price Negotiation"
,"High","Order Tracking","0.91",,"3.3","Status: Contradiction, Delivery Claim: Disputed","TRUE","50%","Path C - Escalation","600","WhatsApp",,"COMPLEX-018","The tracking info says delivered but I never received it!","FALSE","Negative","High","BEASTLIFE_ALL_QUERIES_COMBINED.csv","Contradictory Status"
,"Low","General Questions","0.92",,"4.4","Request: Historical Data, Purpose: Compliance","FALSE","95%","Path A - API Resolution","180","Email",,"COMPLEX-019","Can you provide order history for the past 2 years? I need it for tax purposes","FALSE","Neutral","Low","BEASTLIFE_ALL_QUERIES_COMBINED.csv","Data Request"
,"Low","Product Complaints","0.78",,"3.9","Issue: Price Discrepancy, Request: Adjustment","FALSE","70%","Path B - RAG Response","420","Chat",,"COMPLEX-020","I found the product cheaper elsewhere. Will you honor a price adjustment?","FALSE","Neutral","Low","BEASTLIFE_ALL_QUERIES_COMBINED.csv","Price Mismatch"
,"Critical","Product Complaints","0.89",,"2.9","Replacements: 4x, Pattern: Recurring Defect","TRUE","80%","Path C - Escalation Priority","600","Email",,"COMPLEX-021","This is my 4th replacement for the same product. I want a full refund!","FALSE","Critical","Very High","BEASTLIFE_ALL_QUERIES_COMBINED.csv","Recurring Defect"
,"High","Order Tracking","0.85",,"3.2","Order: ORD-99887, Status: Lost in Transit","TRUE","40%","Path C - Escalation","600","Instagram",,"COMPLEX-022","My order ORD-99887 disappeared from my tracking. Where is it?!","FALSE","Negative","High","BEASTLIFE_ALL_QUERIES_COMBINED.csv","Lost Tracking"
,"Low","Payment Issues","0.72",,"3.8","Request: Split Payment, Cards: 3x","FALSE","60%","Path B - RAG Response","420","Chat",,"COMPLEX-023","Can I split my payment between 3 different cards?","FALSE","Neutral","Low","BEASTLIFE_ALL_QUERIES_COMBINED.csv","Complex Payment"
,"Low","Order Tracking","0.88",,"4.4","Account Type: Corporate, Feature: Bulk Discount","FALSE","85%","Path A - API Resolution","210","Email",,"COMPLEX-024","I have a corporate account with bulk discounts. Is my recent order eligible?","FALSE","Positive","Low","BEASTLIFE_ALL_QUERIES_COMBINED.csv","Corporate Account"
